Account Name/Number,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Cost Basis Per Share,Type
1234,T,AT&T INC COM USD1,1,$29.23,-$0.34,$28.87,-$0.34,-1.15%,+$2.35,8.89%,$26.84,Cash
1234,GOOG,ALPHABET INC CAP STK CL C,8,"$2,117.20",-$11.11,"$16,937.60",-$88.88,-0.53%,"+$5,248.70",44.90%,"$1,461.11",Cash
1234,MO,ALTRIA GROUP INC,6,$43.63,+$0.03,$263.08,+$0.18,0.06%,+$28.02,11.92%,$38.98,Cash
1234,AAPL,APPLE INC COM USD0.00001,30,$129.71,-$1.13,"$3,772.87",-$32.87,-0.87%,+$608.54,19.23%,$108.79,Cash
1234,BA,BOEING CO COM USD5.00,5,$208.48,-$7.04,"$1,042.40",-$35.20,-3.27%,+$128.28,14.03%,$182.82,Cash
1234,CVS,CVS HEALTH CORPORATION COM USD0.01,21,$71.52,-$1.19,"$1,739.15",-$28.94,-1.64%,+$245.82,16.46%,$61.41,Cash
1234,CAT,CATERPILLAR INC COM,4,$199.92,-$2.38,$799.68,-$9.52,-1.18%,+$290.18,56.95%,$127.38,Cash
1234,CSCO,CISCO SYSTEMS INC,6,$46.34,+$0.09,$233.55,+$0.45,0.19%,+$23.44,11.15%,$41.69,Cash
1234,KO,COCA-COLA CO,43,$50.77,+$0.64,"$2,362.32",+$29.77,1.27%,+$200.30,9.26%,$46.47,Cash
1234,CL,COLGATE-PALMOLIVE CO COM USD1.00,3,$78.72,+$0.28,$237.49,+$0.84,0.35%,+$26.50,12.56%,$69.93,Cash
1234,ED,CONSOLIDATED EDISON INC COM USD0.10,3,$70.02,-$0.14,$210.06,-$0.42,-0.20%,-$1.49,-0.71%,$70.52,Cash
1234,COST,COSTCO WHOLESALE CORP COM USD0.01,2,$356.92,-$1.12,$366.55,-$1.16,-0.32%,+$59.98,19.56%,$298.51,Cash
